Element,M-At No.,M-At wt.,M-Density,M-M.P,M-B.P,M-Enth.fus,M-Enth.atom,M-Enth.vap,M-Sp.ht Cap,M-Elec.-ve,M-Surface.E,M-1st Ion E,M-cova .radii,M-At.radii,M-Group,M-Period,M-Work F.,M-Elec.Aff,At No.,At wt.,Density,M.P,B.P,Enth.fus,Enth.atom,Enth.vap,Sp.ht Cap,Elec.-ve,Surface.E,1st Ion E,cova .radii,At.radii,Group,Period,Work F.,Elec.Aff,CO_B.E
Cu3M-Sc,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,21,44.955,2.985,1814,3013,16,378,318,567,1.36,1.2,633.1,170,184,3,4,3.5,18.1,
Cu3M-Ti,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,22,47.867,4.507,1941,3560,18.7,471,425,520,1.54,1.93,658.8,160,176,4,4,4.33,7.6,
Cu3M-V,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,23,50.94,6.11,2183,3680,22.8,515,453,489,1.63,2.38,650.9,153,171,5,4,4.3,50.6,
Cu3M-Cr,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,24,51.9961,7.19,2180,2944,20.5,397,339,448,1.66,3.22,652.9,139,166,6,4,4.5,64.3,
Cu3M-Mn,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,25,54.9,7.47,1519,2334,13.2,281,220,479,1.55,3.39,717.3,139,161,7,4,4.1,-50,
Cu3M-Co,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,27,58.933,8.9,1768,3200,16.2,426,375,421,1.88,2.11,760.4,126,152,9,4,5,63.7,
Cu3M-Ni,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,1.92,737.1,121,149,10,4,5.24,112,
Cu3M-Zn,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,30,65.38,7.14,692.68,1180,7.35,131,119,388,1.65,0.33,906.4,122,142,12,4,3.63,-58,
Cu3M-Ga,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,31,69.723,5.904,302.91,2477,5.59,277,256,371,1.81,0.48,578.8,122,136,13,4,4.32,28.9,
Cu3M-Y,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,39,88.9,4.472,1799,3618,11.4,425,380,298,1.22,1,600,190,212,3,5,3.183,29.6,
Cu3M-Zr,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,40,91.224,6.511,2128,4682,21,605,580,278,1.33,1.6,640.1,175,206,4,5,4.05,41.1,
Cu3M-Nb,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,41,92.9,8.57,2750,5017,26.8,733,690,265,1.6,2.06,652.1,164,198,5,5,4.36,86.1,
Cu3M-Mo,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,42,95.95,10.28,2896,4639,36,659,600,251,2.16,2.78,684.3,154,190,6,5,4.52,71.9,
Cu3M-Ru,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,44,101.07,12.37,2607,4423,25.7,652,580,238,2.2,2.6,710.2,126,178,8,5,4.65,101.3,
Cu3M-Rh,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,1.98,719.7,135,173,9,5,5.2,109.7,
Cu3M-Pd,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,46,106.42,12.023,1828.05,3236,16.7,377,380,240,2.2,1.36,804.4,131,169,10,5,5.47,53.7,
Cu3M-Ag,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,47,107.87,10.49,1234.93,2435,11.3,285,255,235,1.93,0.76,731,145,165,11,5,4.63,125.6,
