Element,M-At No.,M-At wt.,M-Density,M-M.P,M-B.P,M-Enth.fus,M-Enth.atom,M-Enth.vap,M-Sp.ht Cap,M-Elec.-ve,M-Surface.E,M-1st Ion E,M-cova .radii,M-At.radii,M-Group,M-Period,M-Work F.,M-Elec.Aff,At No.,At wt.,Density,M.P,B.P,Enth.fus,Enth.atom,Enth.vap,Sp.ht Cap,Elec.-ve,Surface.E,1st Ion E,cova .radii,At.radii,Group,Period,Work F.,Elec.Aff,CO_B.E
Ag3M-Ti,47,107.87,10.49,1234.93,2435,11.3,285,255,235,1.93,1.17,731,145,165,11,5,4.74,125.6,22,47.867,4.507,1941,3560,18.7,471,425,520,1.54,1.93,658.8,160,176,4,4,4.33,7.6,0.110488
Ag3M-V,47,107.87,10.49,1234.93,2435,11.3,285,255,235,1.93,1.17,731,145,165,11,5,4.74,125.6,23,50.94,6.11,2183,3680,22.8,515,453,489,1.63,2.38,650.9,153,171,5,4,4.3,50.6,0.041306
Ag3M-Cr,47,107.87,10.49,1234.93,2435,11.3,285,255,235,1.93,1.17,731,145,165,11,5,4.74,125.6,24,51.9961,7.19,2180,2944,20.5,397,339,448,1.66,3.22,652.9,139,166,6,4,4.5,64.3,0.032003
Ag3M-Mn,47,107.87,10.49,1234.93,2435,11.3,285,255,235,1.93,1.17,731,145,165,11,5,4.74,125.6,25,54.9,7.47,1519,2334,13.2,281,220,479,1.55,3.39,717.3,139,161,7,4,4.1,-50,0.034649
Ag3M-Co,47,107.87,10.49,1234.93,2435,11.3,285,255,235,1.93,1.17,731,145,165,11,5,4.74,125.6,27,58.933,8.9,1768,3200,16.2,426,375,421,1.88,2.11,760.4,126,152,9,4,5,63.7,0.037391
Ag3M-Ni,47,107.87,10.49,1234.93,2435,11.3,285,255,235,1.93,1.17,731,145,165,11,5,4.74,125.6,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,1.92,737.1,121,149,10,4,5.24,112,0.030238
Ag3M-Cu,47,107.87,10.49,1234.93,2435,11.3,285,255,235,1.93,1.17,731,145,165,11,5,4.74,125.6,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,0.038046
Ag3M-Zn,47,107.87,10.49,1234.93,2435,11.3,285,255,235,1.93,1.17,731,145,165,11,5,4.74,125.6,30,65.38,7.14,692.68,1180,7.35,131,119,388,1.65,0.33,906.4,122,142,12,4,3.63,-58,0.021338
Ag3M-Ga,47,107.87,10.49,1234.93,2435,11.3,285,255,235,1.93,1.17,731,145,165,11,5,4.74,125.6,31,69.723,5.904,302.91,2477,5.59,277,256,371,1.81,0.48,578.8,122,136,13,4,4.32,28.9,0.062303
Ag3M-Mo,47,107.87,10.49,1234.93,2435,11.3,285,255,235,1.93,1.17,731,145,165,11,5,4.74,125.6,42,95.95,10.28,2896,4639,36,659,600,251,2.16,2.78,684.3,154,190,6,5,4.52,71.9,0.0623
