Element,M-At No.,M-At wt.,M-Density,M-M.P,M-B.P,M-Enth.fus,M-Enth.atom,M-Enth.vap,M-Sp.ht Cap,M-Elec.-ve,M-Surface.E,M-1st Ion E,M-cova .radii,M-At.radii,M-Group,M-Period,M-Work F.,M-Elec.Aff,At No.,At wt.,Density,M.P,B.P,Enth.fus,Enth.atom,Enth.vap,Sp.ht Cap,Elec.-ve,Surface.E,1st Ion E,cova .radii,At.radii,Group,Period,Work F.,Elec.Aff,OH_B.E
Au3M-Ni,79,196.96,19.3,1337.33,3129,12.5,368,330,129.1,2.54,0.74,890.13,136,174,11,6,5.41,222.8,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,1.92,737.1,121,149,10,4,5.24,112,1.496072
Au3M-Zn,79,196.96,19.3,1337.33,3129,12.5,368,330,129.1,2.54,0.74,890.13,136,174,11,6,5.41,222.8,30,65.38,7.14,692.68,1180,7.35,131,119,388,1.65,0.33,906.4,122,142,12,4,3.63,-58,1.398238
Au3M-Ru,79,196.96,19.3,1337.33,3129,12.5,368,330,129.1,2.54,0.74,890.13,136,174,11,6,5.41,222.8,44,101.07,12.37,2607,4423,25.7,652,580,238,2.2,2.6,710.2,126,178,8,5,4.65,101.3,1.372716
Au3M-Rh,79,196.96,19.3,1337.33,3129,12.5,368,330,129.1,2.54,0.74,890.13,136,174,11,6,5.41,222.8,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,1.98,719.7,135,173,9,5,5.2,109.7,1.5276
Au3M-Pd,79,196.96,19.3,1337.33,3129,12.5,368,330,129.1,2.54,0.74,890.13,136,174,11,6,5.41,222.8,46,106.42,12.023,1828.05,3236,16.7,377,380,240,2.2,1.36,804.4,131,169,10,5,5.47,53.7,1.48496
Au3M-Ag,79,196.96,19.3,1337.33,3129,12.5,368,330,129.1,2.54,0.74,890.13,136,174,11,6,5.41,222.8,47,107.87,10.49,1234.93,2435,11.3,285,255,235,1.93,0.76,731,145,165,11,5,4.63,125.6,1.352419
Au3M-Ir,79,196.96,19.3,1337.33,3129,12.5,368,330,129.1,2.54,0.74,890.13,136,174,11,6,5.41,222.8,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.36,880,137,180,9,6,5.76,151,1.540573
Au3M-Pt,79,196.96,19.3,1337.33,3129,12.5,368,330,129.1,2.54,0.74,890.13,136,174,11,6,5.41,222.8,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,1.521248
Pt3M-Cr,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,24,51.9961,7.19,2180,2944,20.5,397,339,448,1.66,3.22,652.9,139,166,6,4,4.5,64.3,0.775599
Pt3M-Mn,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,25,54.9,7.47,1519,2334,13.2,281,220,479,1.55,3.39,717.3,139,161,7,4,4.1,-50,0.800805
Pt3M-Co,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,27,58.933,8.9,1768,3200,16.2,426,375,421,1.88,2.11,760.4,126,152,9,4,5,63.7,0.937382
Pt3M-Ni,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,1.92,737.1,121,149,10,4,5.24,112,0.919649
Pt3M-Cu,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,0.936376
Pt3M-Zn,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,30,65.38,7.14,692.68,1180,7.35,131,119,388,1.65,0.33,906.4,122,142,12,4,3.63,-58,0.867632
Pt3M-Ru,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,44,101.07,12.37,2607,4423,25.7,652,580,238,2.2,2.6,710.2,126,178,8,5,4.65,101.3,0.919779
Pt3M-Pd,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,46,106.42,12.023,1828.05,3236,16.7,377,380,240,2.2,1.36,804.4,131,169,10,5,5.47,53.7,0.885188
Pt3M-Ag,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,47,107.87,10.49,1234.93,2435,11.3,285,255,235,1.93,0.76,731,145,165,11,5,4.63,125.6,0.887421
Pt3M-In,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,49,114.818,7.31,429.75,2345,3.26,243,230,233,1.78,0.3,558.3,142,156,13,5,4.09,28.9,0.596609
Pt3M-Sn,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,50,118.71,7.31,505.08,2875,7,302,290,217,1.96,0.54,708.6,139,145,14,5,4.42,107.3,0.839604
Pt3M-La,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,57,138.9,6.146,1193,3737,6.3,431,400,195,1.1,0.7,538.1,207,187,3,6,3.5,48,-0.247531
Pt3M-Re,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,75,186.21,21.02,3459,5869,33,776,705,137,1.9,2.57,760,159,188,7,6,4.72,14.5,1.078363
Pt3M-Os,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,76,190.23,22.59,3306,5285,31,789,630,130,2.2,2.95,840,128,185,8,6,5.93,106.1,0.997982
Pt3M-Ir,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.36,880,137,180,9,6,5.76,151,0.979204
Pt3M-Au,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,79,196.96,19.3,1337.33,3129,12.5,368,330,129.1,2.54,0.74,890.13,136,174,11,6,5.41,222.8,0.983963
Pt3M-Tl,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,81,204.38,11.85,577,1746,4.2,182,165,129,1.62,0.22,589.4,145,156,13,6,3.84,19.2,0.778231
